Permits Type (Category),Physical Location (Yes/No),Parking Lot / Zone Name,Enforcement Days,Start Time - Daily,End Time - Daily,Count Valid Permissions in Lot by Date/Time,17FAE,18-19FAE,19-20FAE,4H,A,AA,AE,After Hours,All Campus,All Permits,Alumni,B,BB,Breaksgiving,Bundle Pack-FS,Bundle Pack-Student,Bus Bundle Pack,C,Campus Meter,Carpool,CC,Courier,Daily Service Permit (Paper),DD,E,EE,EMBA,Emeritus,ER,Everyone,F,Faculty Staff Green Permit,FAE,FF,FS Summer,G,Gate Card,GG,Golden ID,Green Permit-Student,H,HC,HH,HP,II,J,JJ,K,KK,L,LL,Lot 1,Lot 10,Lot 11 Commuter,Lot 15,Lot 16,Lot 19,Lot 2,Lot 3,Lot 3 Commuter,Lot 4,Lot 6 Commuter,Lot 6 Resident,Lot 8,Lot 9,Lot V - Anacostia,Lot V - Artemesia/Cypress,M,MC,MD,Medical-FS,Medical-Student,Micromobility,MM,Motorcycle,N,NN,No Permits,O,OO,Overnight Storage-Lot 11,Overnight Storage-Lot 16,Overnight Storage-Lot 17,Overnight Storage-Lot 19,P,Paper Service,PH,PP,Q,QQ,Quarantine,R,RR,S,SA,Scooter/MC,SDStar,Service Permit,Short Term Parking,SLL,SS,Stadium Drive Garage,Student Lot B,Student Lot U,Student Lot UU,Student Lot XX,Student TV,Summer Commuter,Summer Resident,Surface Lot,T,Time and Materials,TMP,TT,TV,U,UU,V,Visitor After Hours,VM,W,WW,X,XX,Y,YC,YY,Z
Permitted,YES,A,Weekend,0:00:00,0:00:00,59,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Permitted,YES,A,Weekdays,7:00:00,16:00:00,8,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Permitted,YES,A,Weekdays,16:00:00,7:00:00,60,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Special Restrictions,YES,AA,Weekend,0:00:00,0:00:00,62,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Special Restrictions,YES,AA,Weekdays,7:00:00,16:00:00,7,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Restrictions,YES,AA,Weekdays,16:00:00,7:00:00,62,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Permitted,YES,B,Weekdays,7:00:00,16:00:00,14,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA-Only,YES,BB,Weekend,0:00:00,0:00:00,62,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
ADA-Only,YES,BB,Weekdays,7:00:00,16:00:00,7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA-Only,YES,BB,Weekdays,16:00:00,7:00:00,62,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
